Date,Total Tenants,Total Licenses,Count of SR
8/2/2021,348,1109,46
8/3/2021,586,1326,206
8/4/2021,296,591,145
8/5/2021,231,684,130
8/6/2021,153,426,104
8/7/2021,77,116,50
8/8/2021,56,120,33
8/9/2021,118,251,64
8/10/2021,155,416,88
8/11/2021,108,342,76
8/12/2021,139,1459,89
8/13/2021,106,643,90
8/14/2021,30,60,30
8/15/2021,26,46,30
8/16/2021,96,496,71
8/17/2021,98,503,64
8/18/2021,98,591,73
8/19/2021,108,505,61
8/20/2021,88,372,45
8/21/2021,30,79,21
8/22/2021,31,81,18
8/23/2021,68,399,59
8/24/2021,88,373,64
8/25/2021,89,429,47
8/26/2021,71,444,56
8/27/2021,86,542,32
8/28/2021,24,40,11
8/29/2021,25,40,12
8/30/2021,62,169,38
8/31/2021,88,359,44
9/1/2021,95,2801,54
9/2/2021,94,207,42
9/3/2021,59,195,47
9/4/2021,27,109,8
9/5/2021,13,21,8
9/6/2021,56,149,22
9/7/2021,55,277,27
9/8/2021,48,410,41
9/9/2021,63,219,34
9/10/2021,44,146,24
9/11/2021,20,79,11
9/12/2021,23,51,8
9/13/2021,73,245,33
9/14/2021,77,588,37
9/15/2021,60,276,42
9/16/2021,60,253,35
9/17/2021,62,339,27
9/18/2021,18,30,10
9/19/2021,27,57,11
9/20/2021,74,291,21
9/21/2021,78,454,34
9/22/2021,73,504,47
9/23/2021,54,266,31
9/24/2021,51,383,30
9/25/2021,15,74,8
9/26/2021,16,29,13
9/27/2021,63,213,37
9/29/2021,69,252,34
9/30/2021,104,379,28
10/1/2021,112,443,27
10/2/2021,60,109,8
10/3/2021,43,87,4
10/4/2021,93,207,29
10/5/2021,87,274,38
10/6/2021,138,370,43
10/7/2021,84,327,36
10/8/2021,74,385,31
10/9/2021,59,189,8
10/10/2021,62,111,18
10/11/2021,101,359,40
10/12/2021,82,146,26
10/13/2021,82,310,51
10/14/2021,97,294,47
10/15/2021,114,306,33
10/16/2021,87,178,9
10/17/2021,223,298,8
10/18/2021,921,1311,32
10/19/2021,678,877,32
10/20/2021,279,476,36
10/21/2021,300,513,32
10/22/2021,303,1438,32
10/23/2021,260,338,5
10/24/2021,334,1039,8
10/25/2021,603,2718,35
10/26/2021,760,1202,50
10/27/2021,687,945,54
10/28/2021,516,1074,43
10/29/2021,1361,1752,30
10/30/2021,1204,1444,8
10/31/2021,1118,1296,13
11/1/2021,969,1361,24
11/2/2021,952,1224,23
11/3/2021,619,959,25
11/4/2021,317,586,32
11/6/2021,246,434,8
11/7/2021,179,264,12
11/8/2021,431,930,32
11/10/2021,363,683,29
11/12/2021,689,870,29
11/13/2021,243,424,6
11/14/2021,49,90,7
11/15/2021,137,439,37
11/16/2021,196,1336,31
11/17/2021,192,516,34
11/18/2021,191,575,29
11/19/2021,113,444,30
11/20/2021,47,92,1
11/21/2021,37,102,13
11/22/2021,133,519,29
11/23/2021,111,342,26
11/24/2021,87,292,29
11/25/2021,63,153,18
11/26/2021,69,650,12
11/27/2021,49,133,6
11/28/2021,60,79,9
11/29/2021,105,1977,19
11/30/2021,119,332,26
12/1/2021,99,423,33
12/2/2021,109,334,27
12/3/2021,88,320,26
12/4/2021,34,92,4
12/5/2021,42,63,7
12/6/2021,114,374,24
12/7/2021,106,500,29
12/8/2021,134,512,20
12/9/2021,106,431,26
12/10/2021,87,424,25
12/11/2021,43,141,9
12/12/2021,34,73,7
12/13/2021,80,205,25
12/14/2021,88,223,28
12/15/2021,83,181,23
12/16/2021,61,164,28
12/17/2021,77,221,25
12/18/2021,56,353,12
12/19/2021,59,242,8
12/20/2021,95,667,28
12/21/2021,121,573,33
12/22/2021,113,750,23
12/23/2021,60,103,25
12/24/2021,59,126,12
12/25/2021,52,193,5
12/26/2021,44,95,4
12/27/2021,79,260,14
12/28/2021,80,238,17
12/29/2021,109,343,26
12/30/2021,102,300,21
12/31/2021,90,187,15
1/1/2022,47,390,8
1/2/2022,78,208,4
1/3/2022,106,266,25
1/4/2022,128,482,28
1/5/2022,160,423,19
1/6/2022,115,379,32
1/7/2022,137,529,27
1/8/2022,114,917,7
1/9/2022,72,286,1
1/10/2022,,,
1/11/2022,,,
1/12/2022,,,
1/13/2022,,,
1/14/2022,,,
1/15/2022,,,
1/16/2022,,,
1/17/2022,,,
1/18/2022,,,
1/19/2022,,,
1/20/2022,,,
1/21/2022,,,
1/22/2022,,,
1/23/2022,,,
1/24/2022,,,
1/25/2022,,,
1/26/2022,,,
1/27/2022,,,
1/28/2022,,,
1/29/2022,,,
1/30/2022,,,
1/31/2022,,,
